time,bf_03,bf_04,bl_ce193
2018-03-07 05:20:00,12.75142904,2.634,NA
2018-03-07 05:25:00,11.84799286,2.634,1.51362054
2018-03-07 05:30:00,13.33781905,3.204,NA
2018-03-07 05:35:00,14.65785112,3.204,1.51362054
2018-03-07 05:40:00,12.87900964,4.171,1.51362054
2018-03-07 05:45:00,14.25869961,4.523,NA
2018-03-07 05:50:00,14.65958609,4.523,1.51362054
2018-03-07 05:55:00,20.09429118,5.673,1.51362054
2018-03-07 06:00:00,25.53092051,6.087,NA
2018-03-07 06:05:00,27.51036296,8.389,1.51362054
2018-03-07 06:10:00,29.35025032,8.897,1.51362054
2018-03-07 06:15:00,31.60387559,8.897,NA
2018-03-07 06:20:00,33.39235091,12.893,1.51362054
2018-03-07 06:25:00,35.6099581,12.893,NA
2018-03-07 06:30:00,37.68999755,12.893,NA
2018-03-07 06:35:00,38.77478593,13.528,1.51362054
2018-03-07 06:40:00,36.54572791,13.528,1.51362054
2018-03-07 06:45:00,27.8272451,12.275,1.51362054
2018-03-07 06:50:00,24.77267966,11.672,1.51362054
2018-03-07 06:55:00,22.18913785,9.42,1.51362054
2018-03-07 07:00:00,19.56278948,8.897,1.51362054
2018-03-07 07:05:00,18.32567659,6.961,1.51362054
2018-03-07 07:10:00,17.85170666,6.961,1.51362054
2018-03-07 07:15:00,16.31308036,6.961,1.51362054
2018-03-07 07:20:00,15.73510656,6.961,1.51362054
2018-03-07 07:25:00,14.80595489,6.516,1.51362054
2018-03-07 07:30:00,15.01176709,5.274,1.51362054
2018-03-07 07:35:00,15.58062438,5.274,NA
2018-03-07 07:40:00,13.85169971,4.891,1.51362054
2018-03-07 07:45:00,13.38396938,4.891,1.51362054
2018-03-07 07:50:00,14.18504204,6.087,1.51362054
2018-03-07 07:55:00,15.01553356,6.087,NA
2018-03-07 08:00:00,14.81632058,6.087,NA
2018-03-07 08:05:00,15.44257715,7.421,1.51362054
2018-03-07 08:10:00,13.88543394,7.421,1.51362054
2018-03-07 08:15:00,17.64551592,5.673,NA
2018-03-07 08:20:00,13.05158603,5.673,NA
2018-03-07 08:25:00,13.31145374,6.516,NA
2018-03-07 08:30:00,14.68406501,0,1.51362054
2018-03-07 08:35:00,12.23499954,6.087,NA
2018-03-07 08:40:00,13.29393995,6.087,NA
2018-03-07 08:45:00,13.36282792,5.673,1.51362054
2018-03-07 08:50:00,14.59994081,5.673,NA
2018-03-07 08:55:00,12.81504269,5.673,1.51362054
2018-03-07 09:00:00,14.47786796,5.673,NA
2018-03-07 09:05:00,12.00545919,5.673,NA
2018-03-07 09:10:00,14.64877247,5.673,NA
2018-03-07 09:15:00,11.74600787,5.673,1.51362054
2018-03-07 09:20:00,13.37506107,5.673,NA
2018-03-07 09:25:00,12.19026242,4.891,1.51362054
2018-03-07 09:30:00,14.99966012,4.523,1.51362054
2018-03-07 09:35:00,12.71352457,4.523,1.51362054
2018-03-07 09:40:00,15.63632024,5.274,NA
2018-03-07 09:45:00,15.78215908,5.274,NA
